name,specialty,location,experience,rating,focus,hospital,qualification,languages,consultation_fee,availability,about
Dr. Aarav Mehta,Cardiologist,Patna,5 years,4.2,"chest pain, hypertension, palpitation, heart failure, arrhythmia",Patna Cardiologist Care Center,MD Cardiology,English|Hindi,600,Mon-Sat 09:00-14:00,"Specializes in chest pain, hypertension, and personalized cardiologist care."
Dr. Meera Iyer,Cardiologist,Mumbai,6 years,4.3,"hypertension, palpitation, heart failure, arrhythmia, chest pain",Mumbai Cardiologist Care Center,MD Cardiology,English|Hindi|Tamil,700,Mon-Fri 10:00-17:00,"Specializes in chest pain, hypertension, and personalized cardiologist care."
Dr. Karan Verma,Cardiologist,Hyderabad,7 years,4.4,"palpitation, heart failure, arrhythmia, chest pain, hypertension",Hyderabad Cardiologist Care Center,MD Cardiology,English|Hindi|Bengali,800,Tue-Sun 11:00-18:00,"Specializes in chest pain, hypertension, and personalized cardiologist care."
Dr. Sana Qureshi,Cardiologist,Ahmedabad,8 years,4.5,"heart failure, arrhythmia, chest pain, hypertension, palpitation",Ahmedabad Cardiologist Care Center,MD Cardiology,English|Hindi|Marathi,900,Mon-Sat 16:00-20:00,"Specializes in chest pain, hypertension, and personalized cardiologist care."
Dr. Rohan Kulkarni,Cardiologist,Chennai,9 years,4.6,"arrhythmia, chest pain, hypertension, palpitation, heart failure",Chennai Cardiologist Care Center,MD Cardiology,English|Hindi|Gujarati,1000,Mon-Sat 09:00-14:00,"Specializes in chest pain, hypertension, and personalized cardiologist care."
Dr. Naina Shah,Cardiologist,Patna,10 years,4.7,"chest pain, hypertension, palpitation, heart failure, arrhythmia",Patna Cardiologist Care Center,MD Cardiology,English|Hindi,1100,Mon-Fri 10:00-17:00,"Specializes in chest pain, hypertension, and personalized cardiologist care."
Dr. Priya Reddy,Dermatologist,Ahmedabad,11 years,4.8,"skin rash, acne, eczema, itching, fungal infection",Ahmedabad Dermatologist Care Center,MD Dermatology,English|Hindi|Tamil,1200,Tue-Sun 11:00-18:00,"Specializes in skin rash, acne, and personalized dermatologist care."
Dr. Aarushi Kapoor,Dermatologist,Chennai,12 years,4.9,"acne, eczema, itching, fungal infection, skin rash",Chennai Dermatologist Care Center,MD Dermatology,English|Hindi|Bengali,1300,Mon-Sat 16:00-20:00,"Specializes in skin rash, acne, and personalized dermatologist care."
Dr. Dev Nair,Dermatologist,Patna,13 years,4.2,"eczema, itching, fungal infection, skin rash, acne",Patna Dermatologist Care Center,MD Dermatology,English|Hindi|Marathi,1400,Mon-Sat 09:00-14:00,"Specializes in skin rash, acne, and personalized dermatologist care."
Dr. Isha Singh,Dermatologist,Mumbai,14 years,4.3,"itching, fungal infection, skin rash, acne, eczema",Mumbai Dermatologist Care Center,MD Dermatology,English|Hindi|Gujarati,1500,Mon-Fri 10:00-17:00,"Specializes in skin rash, acne, and personalized dermatologist care."
Dr. Kabir Bose,Dermatologist,Hyderabad,15 years,4.4,"fungal infection, skin rash, acne, eczema, itching",Hyderabad Dermatologist Care Center,MD Dermatology,English|Hindi,600,Tue-Sun 11:00-18:00,"Specializes in skin rash, acne, and personalized dermatologist care."
Dr. Ananya Malhotra,Dermatologist,Ahmedabad,16 years,4.5,"skin rash, acne, eczema, itching, fungal infection",Ahmedabad Dermatologist Care Center,MD Dermatology,English|Hindi|Tamil,700,Mon-Sat 16:00-20:00,"Specializes in skin rash, acne, and personalized dermatologist care."
Dr. Vivaan Joshi,Neurologist,Mumbai,17 years,4.6,"migraine, seizure, dizziness, nerve pain, numbness",Mumbai Neurologist Care Center,DM Neurology,English|Hindi|Bengali,800,Mon-Sat 09:00-14:00,"Specializes in migraine, seizure, and personalized neurologist care."
Dr. Zoya Das,Neurologist,Hyderabad,18 years,4.7,"seizure, dizziness, nerve pain, numbness, migraine",Hyderabad Neurologist Care Center,DM Neurology,English|Hindi|Marathi,900,Mon-Fri 10:00-17:00,"Specializes in migraine, seizure, and personalized neurologist care."
Dr. Arjun Mishra,Neurologist,Ahmedabad,19 years,4.8,"dizziness, nerve pain, numbness, migraine, seizure",Ahmedabad Neurologist Care Center,DM Neurology,English|Hindi|Gujarati,1000,Tue-Sun 11:00-18:00,"Specializes in migraine, seizure, and personalized neurologist care."
Dr. Tara Roy,Neurologist,Chennai,20 years,4.9,"nerve pain, numbness, migraine, seizure, dizziness",Chennai Neurologist Care Center,DM Neurology,English|Hindi,1100,Mon-Sat 16:00-20:00,"Specializes in migraine, seizure, and personalized neurologist care."
Dr. Reyansh Chopra,Neurologist,Patna,21 years,4.2,"numbness, migraine, seizure, dizziness, nerve pain",Patna Neurologist Care Center,DM Neurology,English|Hindi|Tamil,1200,Mon-Sat 09:00-14:00,"Specializes in migraine, seizure, and personalized neurologist care."
Dr. Diya Bajaj,Neurologist,Mumbai,22 years,4.3,"migraine, seizure, dizziness, nerve pain, numbness",Mumbai Neurologist Care Center,DM Neurology,English|Hindi|Bengali,1300,Mon-Fri 10:00-17:00,"Specializes in migraine, seizure, and personalized neurologist care."
Dr. Aditya Iyer,Orthopedic Surgeon,Chennai,5 years,4.4,"joint pain, fracture, arthritis, back pain, sports injury",Chennai Orthopedic Care Center,MS Orthopedics,English|Hindi|Marathi,1400,Tue-Sun 11:00-18:00,"Specializes in joint pain, fracture, and personalized orthopedic surgeon care."
Dr. Kiara Verma,Orthopedic Surgeon,Patna,6 years,4.5,"fracture, arthritis, back pain, sports injury, joint pain",Patna Orthopedic Care Center,MS Orthopedics,English|Hindi|Gujarati,1500,Mon-Sat 16:00-20:00,"Specializes in joint pain, fracture, and personalized orthopedic surgeon care."
Dr. Vihaan Qureshi,Orthopedic Surgeon,Mumbai,7 years,4.6,"arthritis, back pain, sports injury, joint pain, fracture",Mumbai Orthopedic Care Center,MS Orthopedics,English|Hindi,600,Mon-Sat 09:00-14:00,"Specializes in joint pain, fracture, and personalized orthopedic surgeon care."
Dr. Myra Kulkarni,Orthopedic Surgeon,Hyderabad,8 years,4.7,"back pain, sports injury, joint pain, fracture, arthritis",Hyderabad Orthopedic Care Center,MS Orthopedics,English|Hindi|Tamil,700,Mon-Fri 10:00-17:00,"Specializes in joint pain, fracture, and personalized orthopedic surgeon care."
Dr. Ishaan Shah,Orthopedic Surgeon,Ahmedabad,9 years,4.8,"sports injury, joint pain, fracture, arthritis, back pain",Ahmedabad Orthopedic Care Center,MS Orthopedics,English|Hindi|Bengali,800,Tue-Sun 11:00-18:00,"Specializes in joint pain, fracture, and personalized orthopedic surgeon care."
Dr. Sara Anand,Orthopedic Surgeon,Chennai,10 years,4.9,"joint pain, fracture, arthritis, back pain, sports injury",Chennai Orthopedic Care Center,MS Orthopedics,English|Hindi|Marathi,900,Mon-Sat 16:00-20:00,"Specializes in joint pain, fracture, and personalized orthopedic surgeon care."
Dr. Aryan Kapoor,Pulmonologist,Hyderabad,11 years,4.2,"asthma, chronic cough, breathing issue, wheezing, lung infection",Hyderabad Pulmonologist Care Center,MD Pulmonary Medicine,English|Hindi|Gujarati,1000,Mon-Sat 09:00-14:00,"Specializes in asthma, chronic cough, and personalized pulmonologist care."
Dr. Avni Nair,Pulmonologist,Ahmedabad,12 years,4.3,"chronic cough, breathing issue, wheezing, lung infection, asthma",Ahmedabad Pulmonologist Care Center,MD Pulmonary Medicine,English|Hindi,1100,Mon-Fri 10:00-17:00,"Specializes in asthma, chronic cough, and personalized pulmonologist care."
Dr. Shaurya Singh,Pulmonologist,Chennai,13 years,4.4,"breathing issue, wheezing, lung infection, asthma, chronic cough",Chennai Pulmonologist Care Center,MD Pulmonary Medicine,English|Hindi|Tamil,1200,Tue-Sun 11:00-18:00,"Specializes in asthma, chronic cough, and personalized pulmonologist care."
Dr. Nisha Bose,Pulmonologist,Patna,14 years,4.5,"wheezing, lung infection, asthma, chronic cough, breathing issue",Patna Pulmonologist Care Center,MD Pulmonary Medicine,English|Hindi|Bengali,1300,Mon-Sat 16:00-20:00,"Specializes in asthma, chronic cough, and personalized pulmonologist care."
Dr. Rudra Malhotra,Pulmonologist,Mumbai,15 years,4.6,"lung infection, asthma, chronic cough, breathing issue, wheezing",Mumbai Pulmonologist Care Center,MD Pulmonary Medicine,English|Hindi|Marathi,1400,Mon-Sat 09:00-14:00,"Specializes in asthma, chronic cough, and personalized pulmonologist care."
Dr. Pooja Khan,Pulmonologist,Hyderabad,16 years,4.7,"asthma, chronic cough, breathing issue, wheezing, lung infection",Hyderabad Pulmonologist Care Center,MD Pulmonary Medicine,English|Hindi|Gujarati,1500,Mon-Fri 10:00-17:00,"Specializes in asthma, chronic cough, and personalized pulmonologist care."
Dr. Aarav Das,Endocrinologist,Patna,17 years,4.8,"diabetes, thyroid, hormonal imbalance, weight gain, metabolic disorder",Patna Endocrinologist Care Center,DM Endocrinology,English|Hindi,600,Tue-Sun 11:00-18:00,"Specializes in diabetes, thyroid, and personalized endocrinologist care."
Dr. Meera Mishra,Endocrinologist,Mumbai,18 years,4.9,"thyroid, hormonal imbalance, weight gain, metabolic disorder, diabetes",Mumbai Endocrinologist Care Center,DM Endocrinology,English|Hindi|Tamil,700,Mon-Sat 16:00-20:00,"Specializes in diabetes, thyroid, and personalized endocrinologist care."
Dr. Karan Roy,Endocrinologist,Hyderabad,19 years,4.2,"hormonal imbalance, weight gain, metabolic disorder, diabetes, thyroid",Hyderabad Endocrinologist Care Center,DM Endocrinology,English|Hindi|Bengali,800,Mon-Sat 09:00-14:00,"Specializes in diabetes, thyroid, and personalized endocrinologist care."
Dr. Sana Chopra,Endocrinologist,Ahmedabad,20 years,4.3,"weight gain, metabolic disorder, diabetes, thyroid, hormonal imbalance",Ahmedabad Endocrinologist Care Center,DM Endocrinology,English|Hindi|Marathi,900,Mon-Fri 10:00-17:00,"Specializes in diabetes, thyroid, and personalized endocrinologist care."
Dr. Rohan Bajaj,Endocrinologist,Chennai,21 years,4.4,"metabolic disorder, diabetes, thyroid, hormonal imbalance, weight gain",Chennai Endocrinologist Care Center,DM Endocrinology,English|Hindi|Gujarati,1000,Tue-Sun 11:00-18:00,"Specializes in diabetes, thyroid, and personalized endocrinologist care."
Dr. Naina Mehta,Endocrinologist,Patna,22 years,4.5,"diabetes, thyroid, hormonal imbalance, weight gain, metabolic disorder",Patna Endocrinologist Care Center,DM Endocrinology,English|Hindi,1100,Mon-Sat 16:00-20:00,"Specializes in diabetes, thyroid, and personalized endocrinologist care."
Dr. Priya Verma,General Physician,Ahmedabad,5 years,4.6,"fever, viral infection, fatigue, cold, body pain",Ahmedabad General Physician Care Center,"MBBS, MD Medicine",English|Hindi|Tamil,1200,Mon-Sat 09:00-14:00,"Specializes in fever, viral infection, and personalized general physician care."
Dr. Aarushi Qureshi,General Physician,Chennai,6 years,4.7,"viral infection, fatigue, cold, body pain, fever",Chennai General Physician Care Center,"MBBS, MD Medicine",English|Hindi|Bengali,1300,Mon-Fri 10:00-17:00,"Specializes in fever, viral infection, and personalized general physician care."
Dr. Dev Kulkarni,General Physician,Patna,7 years,4.8,"fatigue, cold, body pain, fever, viral infection",Patna General Physician Care Center,"MBBS, MD Medicine",English|Hindi|Marathi,1400,Tue-Sun 11:00-18:00,"Specializes in fever, viral infection, and personalized general physician care."
Dr. Isha Shah,General Physician,Mumbai,8 years,4.9,"cold, body pain, fever, viral infection, fatigue",Mumbai General Physician Care Center,"MBBS, MD Medicine",English|Hindi|Gujarati,1500,Mon-Sat 16:00-20:00,"Specializes in fever, viral infection, and personalized general physician care."
Dr. Kabir Anand,General Physician,Hyderabad,9 years,4.2,"body pain, fever, viral infection, fatigue, cold",Hyderabad General Physician Care Center,"MBBS, MD Medicine",English|Hindi,600,Mon-Sat 09:00-14:00,"Specializes in fever, viral infection, and personalized general physician care."
Dr. Ananya Reddy,General Physician,Ahmedabad,10 years,4.3,"fever, viral infection, fatigue, cold, body pain",Ahmedabad General Physician Care Center,"MBBS, MD Medicine",English|Hindi|Tamil,700,Mon-Fri 10:00-17:00,"Specializes in fever, viral infection, and personalized general physician care."
Dr. Vivaan Nair,Dentist,Mumbai,11 years,4.4,"tooth pain, gum bleeding, cavity, oral care, dental infection",Mumbai Dentist Care Center,BDS,English|Hindi|Bengali,800,Tue-Sun 11:00-18:00,"Specializes in tooth pain, gum bleeding, and personalized dentist care."
Dr. Zoya Singh,Dentist,Hyderabad,12 years,4.5,"gum bleeding, cavity, oral care, dental infection, tooth pain",Hyderabad Dentist Care Center,BDS,English|Hindi|Marathi,900,Mon-Sat 16:00-20:00,"Specializes in tooth pain, gum bleeding, and personalized dentist care."
Dr. Arjun Bose,Dentist,Ahmedabad,13 years,4.6,"cavity, oral care, dental infection, tooth pain, gum bleeding",Ahmedabad Dentist Care Center,BDS,English|Hindi|Gujarati,1000,Mon-Sat 09:00-14:00,"Specializes in tooth pain, gum bleeding, and personalized dentist care."
Dr. Tara Malhotra,Dentist,Chennai,14 years,4.7,"oral care, dental infection, tooth pain, gum bleeding, cavity",Chennai Dentist Care Center,BDS,English|Hindi,1100,Mon-Fri 10:00-17:00,"Specializes in tooth pain, gum bleeding, and personalized dentist care."
Dr. Reyansh Khan,Dentist,Patna,15 years,4.8,"dental infection, tooth pain, gum bleeding, cavity, oral care",Patna Dentist Care Center,BDS,English|Hindi|Tamil,1200,Tue-Sun 11:00-18:00,"Specializes in tooth pain, gum bleeding, and personalized dentist care."
Dr. Diya Joshi,Dentist,Mumbai,16 years,4.9,"tooth pain, gum bleeding, cavity, oral care, dental infection",Mumbai Dentist Care Center,BDS,English|Hindi|Bengali,1300,Mon-Sat 16:00-20:00,"Specializes in tooth pain, gum bleeding, and personalized dentist care."
Dr. Aditya Mishra,Pediatrician,Chennai,17 years,4.2,"child fever, vaccination, child cough, growth check, infant care",Chennai Pediatrician Care Center,MD Pediatrics,English|Hindi|Marathi,1400,Mon-Sat 09:00-14:00,"Specializes in child fever, vaccination, and personalized pediatrician care."
Dr. Kiara Roy,Pediatrician,Patna,18 years,4.3,"vaccination, child cough, growth check, infant care, child fever",Patna Pediatrician Care Center,MD Pediatrics,English|Hindi|Gujarati,1500,Mon-Fri 10:00-17:00,"Specializes in child fever, vaccination, and personalized pediatrician care."
Dr. Vihaan Chopra,Pediatrician,Mumbai,19 years,4.4,"child cough, growth check, infant care, child fever, vaccination",Mumbai Pediatrician Care Center,MD Pediatrics,English|Hindi,600,Tue-Sun 11:00-18:00,"Specializes in child fever, vaccination, and personalized pediatrician care."
Dr. Myra Bajaj,Pediatrician,Hyderabad,20 years,4.5,"growth check, infant care, child fever, vaccination, child cough",Hyderabad Pediatrician Care Center,MD Pediatrics,English|Hindi|Tamil,700,Mon-Sat 16:00-20:00,"Specializes in child fever, vaccination, and personalized pediatrician care."
Dr. Ishaan Mehta,Pediatrician,Ahmedabad,21 years,4.6,"infant care, child fever, vaccination, child cough, growth check",Ahmedabad Pediatrician Care Center,MD Pediatrics,English|Hindi|Bengali,800,Mon-Sat 09:00-14:00,"Specializes in child fever, vaccination, and personalized pediatrician care."
Dr. Sara Iyer,Pediatrician,Chennai,22 years,4.7,"child fever, vaccination, child cough, growth check, infant care",Chennai Pediatrician Care Center,MD Pediatrics,English|Hindi|Marathi,900,Mon-Fri 10:00-17:00,"Specializes in child fever, vaccination, and personalized pediatrician care."
Dr. Aryan Qureshi,Gynecologist,Hyderabad,5 years,4.8,"pregnancy care, menstrual pain, pcos, women health, fertility",Hyderabad Gynecologist Care Center,MS Obstetrics and Gynecology,English|Hindi|Gujarati,1000,Tue-Sun 11:00-18:00,"Specializes in pregnancy care, menstrual pain, and personalized gynecologist care."
Dr. Avni Kulkarni,Gynecologist,Ahmedabad,6 years,4.9,"menstrual pain, pcos, women health, fertility, pregnancy care",Ahmedabad Gynecologist Care Center,MS Obstetrics and Gynecology,English|Hindi,1100,Mon-Sat 16:00-20:00,"Specializes in pregnancy care, menstrual pain, and personalized gynecologist care."
Dr. Shaurya Shah,Gynecologist,Chennai,7 years,4.2,"pcos, women health, fertility, pregnancy care, menstrual pain",Chennai Gynecologist Care Center,MS Obstetrics and Gynecology,English|Hindi|Tamil,1200,Mon-Sat 09:00-14:00,"Specializes in pregnancy care, menstrual pain, and personalized gynecologist care."
Dr. Nisha Anand,Gynecologist,Patna,8 years,4.3,"women health, fertility, pregnancy care, menstrual pain, pcos",Patna Gynecologist Care Center,MS Obstetrics and Gynecology,English|Hindi|Bengali,1300,Mon-Fri 10:00-17:00,"Specializes in pregnancy care, menstrual pain, and personalized gynecologist care."
Dr. Rudra Reddy,Gynecologist,Mumbai,9 years,4.4,"fertility, pregnancy care, menstrual pain, pcos, women health",Mumbai Gynecologist Care Center,MS Obstetrics and Gynecology,English|Hindi|Marathi,1400,Tue-Sun 11:00-18:00,"Specializes in pregnancy care, menstrual pain, and personalized gynecologist care."
Dr. Pooja Kapoor,Gynecologist,Hyderabad,10 years,4.5,"pregnancy care, menstrual pain, pcos, women health, fertility",Hyderabad Gynecologist Care Center,MS Obstetrics and Gynecology,English|Hindi|Gujarati,1500,Mon-Sat 16:00-20:00,"Specializes in pregnancy care, menstrual pain, and personalized gynecologist care."
